phrase_id,module_name,phrase,phrase_lang,translations
2104,measures,the height,English,"[""la hauteur""]"
2105,crime,homicide,French,"[""homicide"", ""homicidal""]"
2106,crime,homicide,English,"[""homicide""]"
2107,crime,homicidal,English,"[""homicide""]"
2108,culture,patrimoine,French,"[""heritage""]"
2109,culture,heritage,English,"[""patrimoine""]"
2110,interjection,hélas,French,"[""alas""]"
2111,interjection,alas,English,"[""hélas""]"
2112,transportation,un hélicoptère,French,"[""a helicopter""]"
2113,transportation,a helicopter,English,"[""un hélicoptère""]"
2114,transportation,l'hélicoptère,French,"[""the helicopter""]"
2115,transportation,the helicopter,English,"[""l'hélicoptère""]"
2116,history,historique,French,"[""historical""]"
2117,history,historical,English,"[""historique""]"
2118,time,une horloge,French,"[""a clock""]"
2119,time,a clock,English,"[""une horloge""]"
2120,time,l'horloge,French,"[""the clock""]"
2121,time,the clock,English,"[""l'horloge""]"
2122,nouns,l'hôte,French,"[""the host""]"
2123,nouns,the host,English,"[""l'hôte""]"
2124,nouns,l'hôtesse,French,"[""the hostess""]"
2125,nouns,the hostess,English,"[""l'hôtesse""]"
2126,verbs,hurler,French,"[""scream""]"
2127,verbs,shout,English,"[""hurler""]"
2128,verbs,habituer,French,"[""get used to""]"
2129,verbs,get used to,English,"[""habituer""]"
2130,arts,un hommage,French,"[""a tribute""]"
2131,arts,a tribute,English,"[""un hommage""]"
2132,arts,l'hommage,French,"[""the tribute""]"
2133,arts,the tribute,English,"[""l'hommage""]"
2134,nouns,une halte,French,"[""a stop"", ""a rest stop""]"
2135,nouns,a rest stop,English,"[""une halte""]"
